nivel,clave,total,wins,losses,winrate,ajuste_confianza,decision_aprendizaje,confiabilidad_muestra,probabilidad_ajustada,intervalo_inferior,intervalo_superior,estabilidad_disponible,muestra_estabilidad,wr_inicio,wr_medio,wr_reciente,dispersion_temporal,cambio_inicio_reciente,bloques_mismo_lado_prior,persistencia_direccion,activo,direccion,familia_setup,tipo_mercado,estado_tendencia,firma_pa,firma_mercado,firma_estrategia,firma_evidencias_exacta
FAMILIA,FAMILIA|REVERSIÓN,1472,721,751,48.98,0.0,NEUTRO,ALTA,48.98,46.45,51.52,True,1472,50.31,50.92,45.71,5.21,-4.6,1,0.333,USDTHB-OTC,call,REVERSIÓN,TENDENCIA,ALCISTA_DEBIL,,,,
FAMILIA_MERCADO,FAMILIA_MERCADO|REVERSIÓN|TENDENCIA,930,468,462,50.32,0.0,NEUTRO,ALTA,50.3,47.12,53.48,True,930,51.29,50.32,49.35,1.94,-1.94,3,1.0,USDTHB-OTC,call,REVERSIÓN,TENDENCIA,ALCISTA_DEBIL,,,,
FAMILIA_DIRECCION,FAMILIA_DIRECCION|REVERSIÓN|CALL,738,364,374,49.32,0.0,NEUTRO,ALTA,49.32,45.76,52.88,True,738,53.66,47.15,47.15,6.51,-6.51,1,0.333,USDTHB-OTC,call,REVERSIÓN,TENDENCIA,ALCISTA_DEBIL,,,,
FAMILIA_DIRECCION,FAMILIA_DIRECCION|REVERSIÓN|PUT,734,357,377,48.64,0.0,NEUTRO,ALTA,48.65,45.09,52.22,True,734,48.57,53.06,44.26,8.8,-4.31,2,0.667,US2000-OTC,put,REVERSIÓN,RANGO,INDEFINIDA,,,,
FAMILIA_MERCADO,FAMILIA_MERCADO|REVERSIÓN|RANGO,542,253,289,46.68,-2.22,DEBIL,ALTA,46.77,42.65,50.89,True,542,49.72,50.83,39.44,11.39,-10.28,1,0.333,US2000-OTC,put,REVERSIÓN,RANGO,INDEFINIDA,,,,
FAMILIA_TENDENCIA,FAMILIA_TENDENCIA|REVERSIÓN|INDEFINIDA,499,235,264,47.09,-2.15,DEBIL,ALTA,47.18,42.89,51.47,True,499,53.29,46.39,41.57,11.72,-11.72,2,0.667,US2000-OTC,put,REVERSIÓN,RANGO,INDEFINIDA,,,,
FAMILIA,FAMILIA|REACCIÓN_ZONA,447,214,233,47.87,-2.02,DEBIL,ALTA,47.93,43.41,52.46,True,447,44.97,53.02,45.64,8.05,0.67,2,0.667,USDSGD-OTC,put,REACCIÓN_ZONA,RANGO,INDEFINIDA,,,,
SETUP_EVIDENCIAS,SETUP_EVIDENCIAS|REVERSIÓN+SWEEP_BAJISTA+SWEEP_RUPTURA_CONFIRMABLE,338,161,177,47.63,-2.06,DEBIL,ALTA,47.72,42.56,52.89,True,338,47.79,51.33,43.75,7.58,-4.04,2,0.667,UKOUSD-OTC,put,REVERSIÓN,TENDENCIA,ALCISTA_DEBIL,,,,
SETUP_EVIDENCIAS,SETUP_EVIDENCIAS|REVERSIÓN+SWEEP_ALCISTA+SWEEP_RUPTURA_CONFIRMABLE,322,164,158,50.93,0.0,NEUTRO,ALTA,50.83,45.54,56.12,True,322,55.56,51.4,45.79,9.77,-9.77,2,0.667,LUNA-OTC,call,REVERSIÓN,RANGO,ALCISTA_DEBIL,,,,
FAMILIA_MERCADO,FAMILIA_MERCADO|REACCIÓN_ZONA|TENDENCIA,272,130,142,47.79,-2.04,DEBIL,ALTA,47.89,42.17,53.61,True,272,43.96,60.44,38.89,21.55,-5.07,2,0.667,USDSGD-OTC,put,REACCIÓN_ZONA,TENDENCIA,ALCISTA_DEBIL,,,,
